1	<b>Процентные доходы всего, в том числе:</b>				 779 055    		 779 055    
1,1	От размещения средств в кредитных организациях				 40 712    		 40 712    
1,2	От ссуд,  предоставленных  клиентам (некредитным организациям)				 734 249   		 734 249    
1,3	От оказания услуг по финансовой аренде (лизингу)				0		0
1,4	От вложений в ценные бумаги 				 4 094    		 4 094    
2	<b>Процентные расходы всего, в том числе:</b>				 330 714    		 330 714    
2,1	По привлеченным средствам кредитных организаций				654    		 654    
2,2	По привлеченным средствам  клиентов (некредитных организаций)  				 329 884    		 329 884    
2,3	По выпущенным долговым обязательствам				 176    		 176    
3	<b>Чистые процентные доходы (отрицательная процентная маржа)</b>				 448 341    	 -      	 448 341    
4	Изменение резерва на возможные потери по ссудам, ссудной и приравненной к ней задолженности,  средствам, размещенным на корреспондентских счетах, а также начисленным процентным доходам, всего, в том числе:				-222 972    		-222 972    
4,1	Изменение резерва на возможные потери по начисленным процентным доходам				-14 708    	 -      	-14 708   
5	Чистые процентные доходы (отрицательная процентная маржа) после создания резерва на возможные потери				 225 369    	 -      	 225 369    
6	Чистые доходы от операций с ценными бумагами, оцениваемыми по справедливой стоимости через прибыль или убыток				615   	 -      	615    
7	Чистые доходы от операций с ценными бумагами, имеющимися в наличии для продажи				 -      	 -      	0
8	Чистые доходы от операций с ценными бумагами, удерживаемыми до погашения				 -      		0
9	Чистые доходы от операций с иностранной валютой				 37873    		 37 873    
10	Чистые доходы от переоценки иностранной валюты				152    		152    
11	Доходы от участия в капитале других юридических лиц				 -      		49
12	Комиссионные доходы				 170 419    	 2    	170 419    
13	Комиссионные расходы				 9 490    	 619    	 9 490    
14	Изменение резерва на возможные потери по ценным бумагам, имеющимся в наличии для продажи				 -      	 -      	0
15	Изменение резерва на возможные потери по ценным бумагам, удерживаемым до погашения				 -      		0
16	Изменение резерва по прочим потерям				 19 447    	 7    	 19 447    
17	Прочие  операционные доходы				 13 156    		 13 156    
18	Чистые доходы (расходы)				 457 590   	-610    	 457 590    
19	Операционные расходы				 411 269    	 3 101    	 411 269    
20	Прибыль до налогообложения				 46 321    	-3 711    	 46 321    
21	Начисленные (уплаченные) налоги 				 31 370    	 874    	 31 370    
22	Прибыль (убыток) после налогообложения				 14 951    		 14 951    
23	Выплаты из прибыли после налогообложения, всего, в том числе:						0
23,1	Распределение между акционерами (участниками) в виде дивидендов				 -      		0
23,2	Отчисления на формирование и пополнение резервного фонда				 -      		0
24	Неиспользованная прибыль (убыток) за отчетный период				 14 951    	-4 585    	 14 951    
