&nbsp;	<div style="text-align: center; line-height: 25px"><b>I. АКТИВЫ</b></div>	тыс. руб.
1	Денежные  средства            	300125
2	Средства кредитных организаций в  Центральном банке Российской Федерации	190648
2,1	Обязательные резервы	6439
3	Средства в кредитных организациях 	359762
4	Чистые вложения в ценные бумаги, оцениваемые по справедливой стоимости через прибыль или убыток	50748
5	Чистая ссудная задолженность 	4260123
6	Чистые вложения в инвестиционные ценные бумаги и другие финансовые активы, имеющиеся в наличии для продажи	19
6,1	Инвестиции в дочерние и зависимые организации 	0
7	Чистые вложения в  ценные бумаги, удерживаемые до погашения	0
8	Основные средства, нематериальные активы и материальные запасы	167729
9	Прочие активы 	61933
10	Всего активов	5391087
&nbsp;	<div style="text-align: center; line-height: 25px"><b>II. ПАССИВЫ</b></div>	тыс. руб.
11	Кредиты, депозиты и прочие средства Центрального банка Российской Федерации	95000
12	Средства кредитных организаций	0
13	Средства клиентов  (некредитных организаций)	4506302
13,1	Вклады физических лиц  	2671694
14	Финансовые обязательства, оцениваемые по справедливой стоимости через прибыль или убыток	0
15	Выпущенные долговые обязательства	74844
16	Прочие обязательства	81029
17	Резервы на возможные потери по условным обязательствам кредитного характера, прочим возможным потерям и  операциям с резидентами офшорных зон	27179
18	Всего  обязательств	4784354
&nbsp;	<div style="text-align: center; line-height: 25px"><b>III.  ИСТОЧНИКИ СОБСТВЕННЫХ СРЕДСТВ</b></div>	тыс. руб.
19	Средства акционеров (участников)	34965
20	Собственные акции (доли) , выкупленные у акционеров (участников)	0
21	Эмиссионный доход	0
22	Резервный фонд	5245
23	Переоценка по справедливой стоимости ценных бумаг, имеющихся в наличии для продажи	0
24	Переоценка основных средств	112072
25	Нераспределенная прибыль прошлых лет (непокрытые убытки прошлых лет)	361615
26	Неиспользованная прибыль (убыток) за отчетный  период	92836
27	Всего источников собственных средств	606733
&nbsp;	<div style="text-align: center; line-height: 25px"><b>IV.  ВНЕБАЛАНСОВЫЕ ОБЯЗАТЕЛЬСТВА</b></div>	тыс. руб.
28	Безотзывные обязательства кредитной организации	760690
29	Гарантии, выданные кредитной организацией	100674
