'Отчет о движении денежных средств '      
'(публикуемая форма)'      
'За 2009 г.'      
      
'Номер строки' 'Наименование статей'    'Денежные потоки за отчетный период' 'Денежные потоки за предыдущий отчетный период'
1 2    3 4
1 'Чистые денежные средства, полученные от/использованные в операционной деятельности'     
'1.1' 'Денежные средства, полученные от/использованные в операционной деятельности до изменений в операционных активах и обязательствах, всего, в том числе:'    ' 185 455    ' ' 269 924    '
' 1.1.1' 'Проценты полученные'    ' 738 814    ' ' 683 039    '
' 1.1.2' 'Проценты уплаченные'    '-330 913    ' '-227 606    '
' 1.1.3' 'Комиссии полученные'    ' 170 330    ' ' 198 456    '
' 1.1.4' 'Комиссии уплаченные'    '-9 490    ' '-11 042    '
' 1.1.5' 'Доходы за вычетом расходов по операциям с финансовыми активами, оцениваемыми по справедливой стоимости через прибыль или убыток, имеющимися в наличии для продажи'    ' 138    ' '-2 589    '
' 1.1.6' 'Доходы за вычетом расходов по операциям с ценными бумагами, удерживаемыми до погашения'    ' -      ' ' -      '
' 1.1.7' 'Доходы за вычетом расходов по операциям с иностранной валютой'    ' 37 873    ' ' 38 783    '
' 1.1.8' 'Прочие операционные доходы'    ' 11 151    ' ' 11 730    '
' 1.1.9' 'Операционные расходы'    '-411 960    ' '-408 464    '
' 1.1.10' 'Расход /возмещение по налогу на прибыль'    '-20 488    ' '-12 383    '
'1.2' 'Прирост /снижение чистых денежных средств от операционных активов и обязательств, всего, в том числе:'    ' 23 768    ' '-201 229    '
' 1.2.1' 'Чистый прирост /снижение  по обязательным резервам на счетах в Банке России'    '-32 751    ' ' 53 087    '
' 1.2.2' 'Чистый прирост /снижение по вложениям в ценные бумаги, оцениваемым по справедливой стоимости через прибыль или убыток'    '-73 295    ' ' 166 235    '
' 1.2.3' 'Чистый прирост /снижение по средствам в кредитных организациях'    ' 188 273    ' '-272 703    '
' 1.2.4' 'Чистый прирост /снижение по ссудной задолженности'    '-884 067    ' '-426 317    '
' 1.2.5' 'Чистый прирост /снижение по прочим активам'    '-3 370    ' ' 2 751    '
' 1.2.6' 'Чистый прирост /снижение по кредитам, депозитам и прочим средствам Банка России'    '-95 000    ' ' 95 000    '
' 1.2.7' 'Чистый прирост /снижение по средствам других кредитных организаций'    ' -      ' '-10 100    '
' 1.2.8' 'Чистый прирост /снижение по средствам клиентов (некредитных организаций)'    ' 775 763    ' ' 143 908    '
' 1.2.9' 'Чистый прирост /снижение по  финансовыми обязательствам, оцениваемыми по справедливой стоимости через прибыль или убыток'    ' -      ' ' -      '
' 1.2.10' 'Чистый прирост /снижение по выпущенным долговым обязательствам'    ' 133 317    ' ' 66 919    '
' 1.2.11' 'Чистый прирост /снижение по прочим обязательствам'    ' 14 898    ' '-20 009    '
'1.3' 'Итого по разделу 1 (ст.1.1.+ст.1.2)'    ' 209 223    ' ' 68 695    '
2 'Чистые денежные средства, полученные от/использованные в инвестиционной деятельности'     
'2.1' 'Приобретение ценных бумаг и других финансовых активов, относящихся к категории "имеющиеся в наличии для продажи"'    ' -      ' ' -      '
'2.2' 'Выручка от реализации и погашения ценных бумаг и других финансовых активов, относящихся к категории "имеющиеся в наличии для продажи"'    ' -      ' ' -      '
'2.3' 'Приобретение ценных бумаг, относящихся к категории "удерживаемые до погашения"'    ' -      ' ' 0    '
'2.4' 'Выручка от погашения ценных бумаг, относящихся к категории "удерживаемые до погашения"'    ' -      ' ' 25    '
'2.5' 'Приобретение основных средств, нематериальных активов и материальных запасов'    '-42 189    ' '-13 103    '
'2.6' 'Выручка от реализации основных средств, нематериальных активов и материальных запасов'    ' 6 938    ' ' 2 703    '
'2.7' 'Дивиденды полученные'    ' -      ' ' -      '
'2.8' 'Итого по разделу 2 (сумма строк с 2.1. по 2.7)'    '-35 251    ' '-10 375    '
3 'Чистые денежные средства, полученные от/использованные в финансовой деятельности'     
'3.1' 'Взносы акционеров (участников) в уставный капитал'    ' -      ' ' -      '
'3.2' 'Приобретение собственных акций (долей), выкупленных у акционеров (участноков)'    ' -      ' ' -      '
'3.3' 'Продажа собственных акций (долей), выкупленных у акционеров (участников)'    ' -      ' ' -      '
'3.4' 'Выплаченные дивиденды'    ' -      ' '-2    '
'3.5' 'Итого по разделу 3 (сумма строк с 3.1. по 3.4)'    ' -      ' '-2    '
4 'Влияние изменений официальных курсов иностранных валют по отношению к рублю, установленных Банком России, на денежные средства и их эквиваленты'    '-7 092    ' ' 7 470    '
5 'Прирост/ использование денежных средств и их эквивалентов'    ' 166 881    ' ' 65 788    '
'5.1.' 'Денежные средства и их эквиваленты на начало отчетного года'    ' 484 334    ' ' 418 546    '
' 5.2.' 'Денежные средства и их эквиваленты на конец отчетного года'    ' 651 215    ' ' 484 334    '
