<div style="text-align: center; font-size: 12px;">Номер<br />п/п</div>	<div style="text-align: center; font-size: 12px;">Наименование показателя</div>	<div style="text-align: center; font-size: 12px;">Нормативное значение	<div style="text-align: center; font-size: 12px;">Фактическое значение на отчетную дату</div>	<div style="text-align: center; font-size: 12px;">Фактическое значение на предыдущую отчетную дату</div>
1	Достаточность собственных средств (капитала) банка (Н1)	min 10	10,8	12,0
2	Показатель мгновенной ликвидности банка (Н2)	min 15	75,3	71,2 
3	Показатель текущей ликвидности банка (Н3)	min 50	111,6	104,4
4	Показатель долгосрочной ликвидности банка (Н4)	max 120	71,4	52,5
5	Показатель максимального размера риска на одного заемщика или группу связанных заемщиков (Н6)	max 25	max 21.7 min 0,00	max 21.9 min 0,00 
6	Показатель максимального размера крупных кредитных рисков (Н7)	max 800	614,8	549,5
7	Показатель максимального размера кредитов, банковских гарантий и поручительств,предоставленных банком своим участникам (акционерам) (Н9.1.)	max 50	0,0	0,5
8	Показатель совокупной величины риска по инсайдерам банка (Н10.1.)	max 3	0,4	0,8
9	Показатель использования собственных средств (капитала банка) для приобретения акций (долей) других юридических лиц (Н12)	max 25	0,0	0,0
10	Показатель соотношения суммы ликвидных активов спроком исполнения в ближайшие 30 дней к сумме обязательств РНКО (Н15)	x	x	x
11	Показатель максимальной совокупной   величины кредитов клиентам- участникам расчетов на завершение расчетов (Н16)	x	x	x
12	Показатель предоставления РНКО  от своего имени и за свой счет кредитов заемщикам, кроме клиентов-участников расчетов (Н16.1)	x	x	x
13	Показатель минимального соотношения размера предоставленных кредитов с ипотечным покрытием и собственных средств (капитала) (Н17)	x	x	x
14	Показатель минимального соотношения размера  ипотечного покрытия и объема эмиссии облигаций с ипотечным покрытием (Н18)	x	x	x
15	Показатель максимального соотношения совокупной суммы обязательств кредитной организации эмитента перед кредиторами, которые в соотвествии сфедеральными законами имеют приоритетное право на удовлетворение своих требований перед владельцами облигаций с ипотечным покрытием, и собственных средств (капитала) банка (Н19)	x	x	x
