&nbsp;	<div style="text-align: center; line-height: 25px"><b>I. АКТИВЫ</b></div>	тыс. руб.
1	Денежные средства 	378 884	
2	Средства кредитных организаций в Центральном банке Российской Федерации	278 178	
2.1	Обязательные резервы	93 994	
3	Средства в кредитных организациях 	291 784	
4	Чистые вложения в ценные бумаги, оцениваемые по справедливой стоимости через прибыль или убыток	591 266	
5	Чистая ссудная задолженность 	7 189 246	5 827 275
6	Чистые вложения в инвестиционные ценные бумаги и другие финансовые активы, имеющиеся в наличии для продажи	219 776	
6.1	Инвестиции в дочерние и зависимые организации 	0	
7	Чистые вложения в ценные бумаги, удерживаемые до погашения	0	
8	Основные средства, нематериальные активы и материальные запасы	221 904	
9	Прочие активы 	294 380	
10	Всего активов	9 465 418	
&nbsp;	<div style="text-align: center; line-height: 25px"><b>II. ПАССИВЫ</b></div>	тыс. руб.		
11	Кредиты, депозиты и прочие средства Центрального банка Российской Федерации	0	
12	Средства кредитных организаций	0	
13	Средства клиентов, не являющихся кредитными организациями	8 430 607	
13.1	Вклады физических лиц 	5 592 469	5 047 274
14	Финансовые обязательства, оцениваемые по справедливой стоимости через прибыль или убыток	0	
15	Выпущенные долговые обязательства	100 314	
16	Прочие обязательства	86 716	
17	Резервы на возможные потери по условным обязательствам кредитного характера, прочим возможным потерям и операциям с резидентами офшорных зон	18 336	9 893
18	Всего обязательств	8 635 973	
&nbsp;	<div style="text-align: center; line-height: 25px"><b>III.  ИСТОЧНИКИ СОБСТВЕННЫХ СРЕДСТВ</b></div>	тыс. руб.		
19	Средства акционеров (участников)	34 965	
20	Собственные акции (доли) , выкупленные у акционеров (участников)	0	
21	Эмиссионный доход	0	
22	Резервный фонд	5 245	
23	Переоценка по справедливой стоимости ценных бумаг, имеющихся в наличии для продажи	0	
24	Переоценка основных средств	130 346	
25	Нераспределенная прибыль (непокрытые убытки) прошлых лет	525 008	
26	Неиспользованная прибыль (убыток) за отчетный период	133 881	
27	Всего источников собственных средств	829 445	
&nbsp;	<div style="text-align: center; line-height: 25px"><b>IV.  ВНЕБАЛАНСОВЫЕ ОБЯЗАТЕЛЬСТВА</b></div>	тыс. руб.			
28	Безотзывные обязательства кредитной организации	1 410 582	
29	Выданные кредитной организацией гарантии и поручительства	311 404	
30	Условные обязательства некридитивного характера	0
