1	<b>Процентные доходы всего, в том числе:</b>				 821 589    		 821 589    
1,1	От размещения средств в кредитных организациях				 57 463    		 57 463    
1,2	От ссуд,  предоставленных  клиентам (некредитным организациям)				 735 624   		 735 624    
1,3	От оказания услуг по финансовой аренде (лизингу)				0		0
1,4	От вложений в ценные бумаги 				 28 502    		 28 502    
2	<b>Процентные расходы всего, в том числе:</b>				 468 620     		 468 620    
2,1	По привлеченным средствам кредитных организаций				19    		 19    
2,2	По привлеченным средствам  клиентов (некредитных организаций)  				 463 522    		 463 522    
2,3	По выпущенным долговым обязательствам				 5079    		 5079    
3	<b>Чистые процентные доходы (отрицательная процентная маржа)</b>				 352 969    	 -      	 352 969    
4	Изменение резерва на возможные потери по ссудам, ссудной и приравненной к ней задолженности,  средствам, размещенным на корреспондентских счетах, а также начисленным процентным доходам, всего, в том числе:				-67 547    		-67 547    
4,1	Изменение резерва на возможные потери по начисленным процентным доходам				-951    	 -      	-951   
5	Чистые процентные доходы (отрицательная процентная маржа) после создания резерва на возможные потери				 285 422    	 -      	 285 422    
6	Чистые доходы от операций с ценными бумагами, оцениваемыми по справедливой стоимости через прибыль или убыток				-271   	 -      	-271    
7	Чистые доходы от операций с ценными бумагами, имеющимися в наличии для продажи				 -      	 -      	0
8	Чистые доходы от операций с ценными бумагами, удерживаемыми до погашения				 -      		0
9	Чистые доходы от операций с иностранной валютой				 22 765    		 22 765    
10	Чистые доходы от переоценки иностранной валюты				152    		152    
11	Доходы от участия в капитале других юридических лиц				 -      		0
12	Комиссионные доходы				 201 476    	 2    	201 476    
13	Комиссионные расходы				 11 060    	 619    	 11 060    
14	Изменение резерва на возможные потери по ценным бумагам, имеющимся в наличии для продажи				 -      	 -      	0
15	Изменение резерва на возможные потери по ценным бумагам, удерживаемым до погашения				 -      		0
16	Изменение резерва по прочим потерям				-25 662    	 7    	 -25 662    
17	Прочие  операционные доходы				 17 618    		 17 618    
18	Чистые доходы (расходы)				 490 021   	-610    	 490 021    
19	Операционные расходы				 388 097    	 3 101    	 388 097    
20	Прибыль до налогообложения				101 924    	-3 711    	 101 924    
21	Начисленные (уплаченные) налоги 				 47 134    	 874    	 47 134     
22	Прибыль (убыток) после налогообложения				 54 790    		 54 790    
23	Выплаты из прибыли после налогообложения, всего, в том числе:						0
23,1	Распределение между акционерами (участниками) в виде дивидендов				 -      		0
23,2	Отчисления на формирование и пополнение резервного фонда				 -      		0
24	Неиспользованная прибыль (убыток) за отчетный период				 54 790    	-4 585    	 54 790    
