1	<b>Процентные доходы всего, в том числе</b> :	934 688
1.1	От размещения средств в кредитных организациях	46 721
1.2	От ссуд, предоставленных клиентам (некредитным организациям)	844 328
1.3	От оказания услуг по финансовой аренде (лизингу)	0
1.4	От вложений в ценные бумаги 	43 639
2	<b>Процентные расходы всего, в том числе</b> :	418 384
2.1	По привлеченным средствам кредитных организаций	0
2.2	По привлеченным средствам клиентов (некредитных организаций) 	417 774
2.3	По выпущенным долговым обязательствам	610
3	<b>Чистые процентные доходы (отрицательная процентная маржа)</b>	516 304
4	Изменение резерва на возможные потери по ссудам, ссудной и приравненной к ней задолженности, средствам, размещенным на корреспондентских счетах, а также начисленным процентным доходам, всего, в том числе:	-99 898
4.1	Изменение резерва на возможные потери по начисленным процентным доходам	13 160
5	Чистые процентные доходы (отрицательная процентная маржа) после создания резерва на возможные потери	416 406
6	Чистые доходы от операций с ценными бумагами, оцениваемыми по справедливой стоимости через прибыль или убыток	-14 859
7	Чистые доходы от операций с ценными бумагами, имеющимися в наличии для продажи	0
8	Чистые доходы от операций с ценными бумагами, удерживаемыми до погашения	0
9	Чистые доходы от операций с иностранной валютой	31 688
10	Чистые доходы от переоценки иностранной валюты	-630
11	Доходы от участия в капитале других юридических лиц	0
12	Комиссионные доходы	230 308
13	Комиссионные расходы	12 861
14	Изменение резерва на возможные потери по ценным бумагам, имеющимся в наличии для продажи	0
15	Изменение резерва на возможные потери по ценным бумагам, удерживаемым до погашения	0
16	Изменение резерва по прочим потерям	-9 048
17	Прочие операционные доходы	19 547
18	Чистые доходы (расходы)	660 551
19	Операционные расходы	473 238
20	Прибыль (убыток) до налогообложения	187 313
21	Начисленные (уплаченные) налоги 	53 432
22	Прибыль (убыток) после налогообложения	133 881
23	Выплаты из прибыли после налогообложения, всего, в том числе:	0
23.1	Распределение между акционерами (участниками) в виде дивидендов	0
23.2	Отчисления на формирование и пополнение резервного фонда	0
24	Неиспользованная прибыль (убыток) за отчетный период	133 881
