<div style="text-align: center; font-size: 12px;">Номер<br />п/п</div>	<div style="text-align: center; font-size: 12px;">Наименование статей</div>	<div style="text-align: center; font-size: 12px;">Денежные потоки за отчетный период	<div style="text-align: center; font-size: 12px;">Денежные потоки за предыдущий отчетный период</div>	
1	Чистые денежные средства, полученные от (использованные в) операционной деятельности		
1.1	Денежные средства, полученные от (использованные в) операционной деятельности до изменений в операционных активах и обязательствах, всего, в том числе:	246 801	 160 328    
1.1.1	Проценты полученные	960 462	 799 304    
1.1.2	Проценты уплаченные	-438 794	-453 642    
1.1.3	Комиссии полученные	230 168	 201 406    
1.1.4	Комиссии уплаченные	-12 861	-11 060    
1.1.5	Доходы за вычетом расходов по операциям с финансовыми активами, оцениваемыми по справедливой стоимости через прибыль или убыток, имеющимися в наличии для продажи	-24 657	-535    
1.1.6	Доходы за вычетом расходов по операциям с ценными бумагами, удерживаемыми до погашения	0	 -      
1.1.7	Доходы за вычетом расходов по операциям с иностранной валютой	31 688	 22 765    
1.1.8	Прочие операционные доходы	19 433	 17 533    
1.1.9	Операционные расходы	-459 604	-377 710    
1.1.10	Расход (возмещение) по налогам	-59 034	-37 733    
1.2	Прирост (снижение) чистых денежных средств от операционных активов и обязательств, всего, в том числе:	23 982	-169 797    
1.2.1	Чистый прирост (снижение) по обязательным резервам на счетах в Банке России	-39 062	-15 742    
1.2.2	Чистый прирост (снижение) по вложениям в ценные бумаги, оцениваемым по справедливой стоимости через прибыль или убыток	560 060	-1 007 851    
1.2.3	Чистый прирост (снижение) по ссудной задолженности	-1 480 550	-1 205 598    
1.2.4	Чистый прирост (снижение) по прочим активам	6 725	 13 626    
1.2.5	Чистый прирост (снижение) по кредитам, депозитам и прочим средствам Банка России	0	 -      
1.2.6	Чистый прирост (снижение) по средствам других кредитных организаций	0	 -      
1.2.7	Чистый прирост (снижение) по средствам клиентов, не являющихся кредитными организациями	978 214	 2 163 648    
1.2.8	Чистый прирост (снижение) по финансовыми обязательствам, оцениваемым по справедливой стоимости через прибыль или убыток	0	 -      
1.2.9	Чистый прирост (снижение) по выпущенным долговым обязательствам	-1 695	-106 152    
1.2.10	Чистый прирост (снижение) по прочим обязательствам	290	-11 727    
1.3	Итого по разделу 1 (ст.1.1.+ст.1.2)	270 783	-9469
2	Чистые денежные средства, полученные от (использованные в) инвестиционной деятельности		
2.1	Приобретение ценных бумаг и других финансовых активов, относящихся к категории "имеющиеся в наличии для продажи"	-219 757	0
2.2	Выручка от реализации и погашения ценных бумаг и других финансовых активов, относящихся к категории "имеющиеся в наличии для продажи"	0	0
2.3	Приобретение ценных бумаг, относящихся к категории "удерживаемые до погашения"	0	0
2.4	Выручка от погашения ценных бумаг, относящихся к категории "удерживаемые до погашения"	0	0
2.5	Приобретение основных средств, нематериальных активов и материальных запасов	-16 837	-14 202
2.6	Выручка от реализации основных средств, нематериальных активов и материальных запасов	275	259
2.7	Дивиденды полученные	0	0
2.8	Итого по разделу 2 (сумма строк с 2.1. по 2.7)	-236 319	-13 943
3	Чистые денежные средства, полученные от (использованные в) финансовой деятельности		
3.1	Взносы акционеров (участников) в уставный капитал	0	0
3.2	Приобретение собственных акций (долей), выкупленных у акционеров (участноков)	0	0
3.3	Продажа собственных акций (долей), выкупленных у акционеров (участников)	0	0
3.4	Выплаченные дивиденды	-2	0
3.5	Итого по разделу 3 (сумма строк с 3.1. по 3.4)	-2	0
4	Влияние изменений официальных курсов иностранных валют по отношению к рублю, установленных Банком России, на денежные средства и их эквиваленты	6 694	-14 920
5	Прирост (использование) денежных средств и их эквивалентов	41 156	-38 332
5.1.1	Денежные средства и их эквиваленты на начало отчетного года	792 150	830 482
5.2.2	Денежные средства и их эквиваленты на конец отчетного года	833 306	792 150
